Song Name,Singer Name,Song Audio,Type,Improved_Type,Mood_Tag,Final_Type
Disco Disco,Benny Dayal & Shirley Setia,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/04157747-544c-4d5c-a7f0-f20c95fdd17d.mp3,Other,Other,Neutral,Other
Husnn Hai Suhaana(New),Chandana Dixit | Abhijeet Bhattacharya ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/689114e4-f5c4-4864-a388-9e8ce938d02f.mp3,Other,Other,Neutral,Other
Dhadhang Dhang,Shreya Ghoshal|Sajid Wajid,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/2f1b7daf-a9ad-4982-aa76-a44505364c72.mp3,Other,Other,Neutral,Other
Shake Karaan,Kanika Kapoor,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/69e641da-2268-4928-ba99-7313b7462533.mp3,Other,Other,Neutral,Other
Nachi Nachi,NEETI MOHAN | DHVANI BHANUSHALI | MILLIND GABA,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/ccfabdbd-6f79-457d-830a-337b5dd3faa1.mp3,Other,Other,Neutral,Other
Saiyaan Superstar,TULSI KUMAR,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/b196529e-622d-4017-99c5-894955f4be5a.mp3,Other,Other,Neutral,Other
GOA BEACH,Tony Kakkar  & Neha Kakkar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/a35f7bd4-3abe-4e8d-b7cf-dfe13faf3f0b.mp3,Other,Other,Neutral,Other
Mourya Re, Shankar Mahadevan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/06de6056-cf01-4f55-ad2c-9e0beb81231b.mp3,Other,Other,Neutral,Other
Koka, Badshah,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d5cc4fb1-7fef-40b5-a2fb-a9754ef1fc2c.mp3,Other,Other,Neutral,Other
Savaria,Neeti Mohan ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/65f68bfc-f198-4fa2-abcf-f43acba96101.mp3,Other,Other,Neutral,Other
Panghat,Asees Kaur | Divya Kumar | Sachin- Jigar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/a0a22184-3f89-4506-93af-69e5dec0c61e.mp3,Other,Other,Neutral,Other
Jab Tum Chaho,DARSHAN RAVAL | PALAK MUCHHAL ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/9f827a80-6dc9-4aab-ab15-c5ae9c0941b8.mp3,Sad,Sad,Sad,Sad
Gajanana,Sukhwinder Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/77eee46c-d3ce-4988-bf91-360e5d996616.mp3,Other,Other,Neutral,Other
Choodiyan, Dev Negi | Asees Kaur,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/718330c9-40b6-4560-8d88-c2cc4eca3ad5.mp3,Other,Other,Neutral,Other
Mubarakan,"Sonu Nigam, Armaan Malik",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e805955e-6dfc-44ac-8745-3cedbbef3aac.mp3,Other,Other,Neutral,Other
Odhani,Neha Kakar | Darshan Raval,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/06a99859-5c71-493b-8c90-bf2ab3c306e8.mp3,Other,Other,Neutral,Other
Des Rangila,Mahalaxmi Iyer,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/182d0fe3-78df-499c-bffd-834c764877a1.mp3,Other,Happy,Upbeat,Happy
