Sno, songs,singer,lyrics,genri,album
32,Kurchi Madathapetti,Guntur Kaaram | Mahesh Babu | Sreeleela | Trivikram | Thaman S,"Rajamundry raaga manjari
Maayama peru telvanollu levu meestiri
Kalakaarla family mari
Nee gajja kadithe nidrapodu ninda rathiri

Sokulaadi swapnasundari
Nee madathachoopu
Maapatela malle pandiri

Raccha raajukunde oopiri
Nee vanka chuste
Gundelona diri diri diri

Ee thooniga nadumulonaa thootaletti
Thupaki pelchinave thingari chitti
Magajaathinatta madathaletti

Aa kurchini madatha petti
Aa kurchini madatha petti
Madatha petti madatha petti
Madatha petti madatha petti

Daanikemo mari daanikemo
Daanikemo mekal estivi
Mari naakemo sanna biyyam nookalistivi

Mekalemlo vandaluga
Mandaluga perigipayee
Naakcchina nookalemo
Okkapootaki karigipaaye

Aada paccharaalla jookalistivi
Mari naakemo chukagalla kokalistivi
Daani chevilo jookalemo
Daga daga merisipaaya
Naaku pettina kokalemo
Pilikalai cherigipaye

Em rasika raajuvomari
Naa dasu bava neetho
Yepudu inka kirkiri

Em rasika raajuvomari
Naa dasu bava neetho
Yepudu inka kirkiri

Aa kurchini madatha petti
Madatha petti madatha petti
Madatha petti madatha petti

Sokulaadi swapnasundari
Madathapetti maapaalela malle pandiri
Raccha raajukunde oopiri
Gundelona diri diri diri

Aa kurchini madatha petti
Madatha petti madatha petti
Madatha petti madatha petti",,
33,Ramuloo Ramulaa,Trivikram || Thaman S,"Bantu ganiki 'Twenty-Two'
Basthila masthu Cut-Out-Oo
Bacchagandla batch undedhi, vocchinamante suttu
Kicke saalaka O night-u
Yekki dokku bullet-u
Sandhu, sandhula mandhu kosam, ethukuthante route-oo
Silku sheera kattukoni, childu beeru merisinattu
Potlam kattina biryaniki, bottu billa pettinattu

Bangla meedha nilusonundhiro
O sandhamama
Sukkadhaagaka chakkar occhero
Yemandham maava
Jinka lekka dhunkuthuntero
Aa sandhamava
Junkee jaari chikkukundhiro
Na dhilukku maava

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ey, thammalapaake esthunte
Kammaga vaasana vosthaave
Yerraga pandina buggalu rendu, yaadhikosthaaaye
Arey puvvula angee esthunte, gundi nuvvai poosthave
Pandukunna gundelo dhuri, hulle jesthave

Arey intu mundhu light-u, minuku minukumanttantey
Nuvvu kannu kottinattu sigguputtindhe
Seera kongu thalupu saatu sikkukuntantey
Nuvvu laginattu vollu jallumantandhe

Nagasvaram udhuthuntey nagu pamu uginattu
Yentapadi vasthunna ne, pattagolusu sappudintu
Pattanattey thiruguthunnavey
Oh sandhamava, pakkaku poyi thongi susthave
Em tekkura mawa

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro

Ramuloo Ramulaa
Nannagam Jesindhiro
Ramuloo Ramulaa
Na Paanam Teesindhiro",,
34,ButtaBomma, Thaman S | Armaan Malik,"Inthakanna manchi polikedi naaku thattaledu gaani ammu
Ee love anedi bubble-u gum-mu
Antukunnadhante podhu nammu
Mundu nunchi andharanana maate gaani malli anatanaane ammu
Idhi cheppakunda vache thummo
Premanaapaleru nannu nammu

Ettaga
Anaee yeduru choopuki
Thaginattuga
Nuvvu badhulu chebithive
Arey devuda
Idhendhanentha lopate
Pilladanta, deggarayi nannu cheradheestive

Butta bomma
Butta bomma
Nannu suttukuntive
Zindagike atta bommayi
Janta kattukuntive

Butta bomma
Butta bomma
Nannu suttukuntive
Zindagike atta bommayi
Janta kattukuntive

Multiplex loni audience laga
Mounamguna gani ammu
Lona dandanaka jariginde nammu
Dimma diriginaade mind sim-mu

Rajula kalam kaadhu
Rathamo gurran levu
Addhan mundara natho nene
Yudham chestaante

Gaajula chethulu jaapi
Deggarakochina nuvvu
Chepallo chitikesi
Chakkaravarthini chesave

Chinnaga
Chinnkku thumparadigithe
Kundapothaga
Tufaan-u thestive
Maataga
O malle poovunadigithe
Mootaga, pola thotaga painochi padithive

Butta bomma
Butta bomma
Nannu suttukuntive
Zindagike atta bommayi
Janta kattukuntive

Veli ninda
Nannu theesi
Bottu pettukuntive
Kaali kindi
Puvvu nenu
Nethinetu kuntive

Inthakanna manchi polikedi naaku thattaledu gaani ammu
Ee love anedi bubble-u gum-mu
Antukunnadhante podhu nammu
Mundu nunchi andharanana maate gaani malli anatanaane ammu
Idhi cheppakunda vache thummo
Premanaapaleru nannu nammu",,
35,Srivalli,Javed Ali | DSP | Sukumar,"Nazrein milte hi nazron se,
Nazron ko churaye,
Kaisi ye haya teri,
Jo tu palkon ko jhukaye.
Rab jo poshida hai,
Usko nihare tu,
Aur jo garveeda hai,
Usko taale tu.
Teri jhalak asharfi srivalli,
Naina madak barfi,
Teri jhalak asharfi srivalli,
Baatein kare do harfi.
Hmm.. saara zamana hai mere peeche,
Par ye deewana hai tere peeche,
Sar ye jhukne na du duniya ke aage,
Par teri payal dekhu kar ke sar niche.
Na tamanna heera panna,
Mujhko hai bas tera banna,
Ek jhalak teri aankon mein,
Khwaab saja jaye.
Teri jhalak asharfi srivalli,
Naina madak barfi,
Teri jhalak asharfi srivalli,
Baatein kare do harfi.
Layi layi laga layi layi,
Layi layi laga layi layi….
Teri saheliyan sada mamooli,
Uske muqable tholdi tu bhali,
Jaise hi solwan chadh jaye savan,
Tu kya har ladki dikhe phoolo ki kali.
Bans pe lipti laal saree,
Wo bhi dikhe raj kumari,
Jhumke bindi aur gajre se,
Roop nikhar jaye fir bhi.
Teri jhalak asharfi srivalli,
Naina madak barfi,
Teri jhalak asharfi srivalli,
Baatein kare do harfi.
Layi layi laga layi layi,
Layi layi laga layi layi….",,
36,Oo Antava Mawa..Oo Oo Antava,DSP |Sukumar,"Koka Koka Koka Kadithe
Kora Kora Mantu Chusthaaru
Potti Potti Gown’ey Vesthe
Patti Patti Chusthaaru

Koka Kaadhu Gown’u
Kaadhu Kattulona Yemundi
Mee Kallallone Antha Undhi
Mee Maga Buddhey Vankara Buddhi


Oo Antava Mava
Oo Oo Antava Mava
Oo Antava Mava
Oo Oo Antava Mava


Thella Thella Gunte Okadu
Thalla Kindhulowthadu
Nalla Nalla Gunte Okadu
Allarallari Chesthadu

Thelupu Nalupu Kaadhu Meeku
Rangutho Paniyemundhi
Sandhu Dorikindhante Saalu
Mee Maga Buddhe Vankara Buddhi


Oo Antava Mava
Oo Oo Antava Mava
Haaye Oo Antava Mava
Oo Oo Antava Mava


(Music)


Yetthu Yetthu Gunte Okadu
Yegiri Ganthulesthaadu
Kurasa Kurasa Gunte Okadu
Murisi Murisi Pothaadu

Yetthu Kaadhu Kurasa Kaadhu
Meeko Satthem Sebuthaanu
Andhina Dhraakshe Theepi Meeku
Mee Maga Buddhe Vankara Buddhi


Oo Antava Mava
Oo Oo Antava Mava
Haaye Oo Antava Mava
Oo Oo Antava Mava


Boddhu Boddhu Gunte Okadu
Muddhu Gunnav Antadu
Sanna Sannangunte Okadu
Sarada Padipothuntaadu

Boddhu Kaadhu Sannam Kaadhu
Vompu Sompu Kaadhandi
Ontiga Sikkamante Saalu
Mee Maga Buddhe Vankara Buddhi


Oo Antava Mava
Oo Oo Antava Mava!
Oye, Oo Antava Mava
Oo Oo Antava Mava


(Music)


Peddha Peddha Manishi Laaga
Okadu Pojulu Kodathadu
Manchi Manchi Manasundantu
Okadu Neethulu Sebuthadu

Manchi Kaadhu Seddaa Kaadhu
Anthaa Okate Jathandi
Deepalanni Aarpesaaka

Uu Uu Uu Uu
Deepalanni Aarpesaka
Andhari Buddhi Vankara Buddhe


Oo Antava Mava
Oo Oo Antava Mava
Oo Antame Mapa
Oo Oo Antama Papa

Oo Antava Mava
Oo Oo Antava Mava
Oo Antame Papa
Oo Oo Antama Papa


Oo Antava Mava
Oo Oo Antava Mava",,
37,Inkem Inkem,Gopi Sundar,"Thadigina thakhajanu, (X2)
Tharikita thadharina,
Thadhemdhemtha aanandam,
Thalavani thalapuga,
Yedhalanu kalupaga,
Modhalika modhalika,
Malli geetha govindam,
Inkem inkem inkem kaavaale…
Chaaley idi chaaley…
Neekai nuvve vachi vaalaavey,
Ikapai thiranaalley,
Gundellonaa vegam penchaavey…
Gummamloki holi techhavey,
Nu pakkanuntey inthenemo ney,
Nak okko ganta okko janmai,
Malli putti chasthunnane,
Inkem inkem inkem kaavaale…
Chaaley idi chaaley…
Neekai nuvve vachi vaalaavey,
Ikapai thiranaalley,
Thadigina thakhajanu, (X2)
Tharikita thadharina,
Thadhemdhemtha aanandam,
Thalavani thalapuga,
Yedhalanu kalupaga,
Modhalika modhalika,
Malli geetha govindam,
Oohalaku dhorakani sogasaa…
Oopirini vadhalani golusaa…
Niku mudi padinadi telusaa…
Manasuna prathi kosaa,
Nee kanula merupula varasaa…
Repinadhi vayasuna rabhasaa…
Naa chilipi kalalaku bahusaa,
Idi velugula dhasaa…
Nee yedutha nilabadu chanuvey visaa…
Andhukoni gaganapu konaley choosaa…
Inkem inkem inkem kaavaale…
Chaaley idi chaaley…
Neekai nuvve vachi vaalaavey,
Ikapai thiranaalley,
Maayalaku kadhalani maguvaa…
Maatalaku karagani madhuvaa…
Panthamulu viduvani biguvaa,
Jariginadhadagavaa…
Naa kadhani teluputa suluvaa…
Jaalipadi nimishamu vinavaa…
Yendhukani gadikoka godavaa…
Chelimiga melagavaa…
Naa peru thalachithey ubhike laavaa…
Challabadi nanu nuvvu karuninchevaa…
Inkem inkem inkem kavale…
Chaaley idi chaaley…
Neekai nuvve vachi vaalaavey,
Ikapai thiranaalley,
Gundellonaa vegam penchaavey…
Gummamloki holi techhavey,
Nu pakkanuntey inthenemo ney,
Nak okko ganta okko janmai,
Malli putti chasthunnane,
Inkem inkem inkem kaavaale…
Chaaley idi chaaley…
Neekai nuvve vachi vaalaavey,
Ikapai thiranaalley,
Thadigina thakhajanu, (X2)
Tharikita thadharina,
Thadhemdhemtha aanandam,
Thalavani thalapuga,
Yedhalanu kalupaga,
Modhalika modhalika,
Malli geetha govindam",,
38,Yenti Yenti,Gopi Sundar,"Vaanavil Vattamaagudhae
Vaanamae Kitta Varudhae
Maegangal Kizhae Irangi
Thogaikku Aadai Kattuthae
Iravellam Veyilaagi Poga
Pagalellam Irulaagi Poga
Paruvangal Vesham Poduthae


Ada Yendi Yaendi Enna Vaatura
Ada Yendi Yaendi Kannal Theetura
Ada Yaendi Yaendi Nenja Killura
Ada Yaendi Kaadhal Kadalil Thallura


Music


Katti Katti Thanga Katti
Kattikolla Konjam Vaadi
Kattikolla Kottikodu
Natchathiram Oru kodi


Hey Azhagin Maanae
Vaa Madi Maelae
Pulli Maaan Pudipattu Pochu
Puli Kaiyil Adipattu Pochu
Vidupattu Engae Povathu
Ada Yendi Yaendi Enna Vaatura
Ada Yendi Yaendi Kannal Theetura
Ada Yaendi Yaendi Nenja Killura
Ada Yaendi Kaadhal Kadalil Thallura


Music

Pinju Mozhi Solla Solla
Paechukulla Kodi Raagam
Muthamittu Moochu Vitta
Moochukulla Roja Vaasam


Thaen Vaizhiyum Ponnae
Kaal Kamala Pennae
Idhazh Thøttu Kødi Kattivittai
Kødi Katti Madi Thøttuvittai
Madi Thøttu Èngae Pøgiraai

Ada Yendi Yaendi Ènna Vaatura
Ada Yendi Yaendi Kannal Theetura
Ada Yaendi Yaendi Nenja Killura
Ada Yaendi Kaadhal Kadalil Thallura",,
39,Darshana,Hridayam,"Ninne njaan kandenne.
Megham pookkal peyunne,
Onnaavaa njanenne,
Nenjeel theer thoren,
Pranaya prapanchamitha.
Darshana ,
Sarvam sada nin sourabhyam,
Darshana ,
En jeevan saayojyam,
Darshana ,
Snehamrudham ennileku darshana.
Nee pokoom vazhiyil,
Varam kaathu ninnu,
Oru noku nalkaa thakannu nee.
Orkkunna neram kanalaanu nenjil,
Maruvakku chollathathenthe.
Ethorazhathil moodi,
Vachaalum azhake,
Manasu thediyethunnu,
Ninte ee punchiri.
Neeyam madhuve,
Nukaraan kaathu njaan.
Darshana ,
Sarvam sada nin sourabhyam,
Darshana ,
En jeevan sayojyam,
Darshana ,
Snehamrutham ennileku darshana.
Onnaavaan njanenne,
Nenjil theer thoren,
Pranaya prapanchamitha.
Darshana ,
Sarvam sada nin sourabhyam,
Darshana ,
En jeevan saayojyam,
Darshana ,
Snehamrutham ennileku darshana.
Darshana darshana darshana,
Snehamrutham ennileku darshana.",,
40,Maate Vinadhuga,Sid Sriram,"Maate Vinadhuga
Mate Vinadhuga
Maate Vinadhuga
Mate Vinadhuga
Perige Vegame
Thagile Meghame
Asale Agadhu ee Paruge
Okate Gamyame
Darulu Verule
Payaname Nee Panile
Arere Puduthu Modhale
Malupu Kudhupu Needhe
Aa Addhame Chupe
Brathukulalo Theerey
Teere
Aa Wipere Thudiche Kare Kannire
Maate Vinadhuga
Vinadhuga Vinaduga
Vegam Digaduga
Digaduga Digaduga
Vegam
Maate Vinadhuga
Vinaduga Vinaduga
Vegam Vegam Vegam
Maate Vinadhuga
Vinadhuga Vinaduga
Vegam Digaduga
Digaduga Digaduga
Vegam
Maate Vinadhuga
Vinaduga Vinaduga
Vegam Vegam Vegam
PErige Vegame
Thagile Meghame
Asale Aagadu Ee Paruge
Okate Gamyame
Darulu verule
Payaname Nee Panile
Arere Puduthu Modale
Malupu Kudhupu Neede
Aa Addame Choope
Brathukulalo Theere
Theere
Aa Wipere
Tudiche Kare Kannire
Chinna Chinna Chinna
Navvule
Vedhakadame
Brathukante
Konni Andulona
Panchava Migulunte Ho HO
Needane Snehame
Nee Manasu CHoopura
Needala Veedaka Saayanne Nerpura
Ashtalenni Raani Jebhe Kali Kani
Naduhunule Bandi Naduchunule
Dare Mariponi Ore
Marchiponi
Veedakule Shrama Veeduvakule
Thadi Are Edha Pai
Musirenu Megham
Manasantha Thadisela
Kurise Vaana
Mate VInaduga
Vinaduga
Vinaduga
Vegam Digaduga
Digaduga Digaduga
Vegam
Mate Vinaduga Vinaduga Vinaduga
Vegam Vegam Vegam
Mate VInaduga
Vinaduga
Vinaduga
Vegam Digaduga
Digaduga Digaduga
Vegam
Mate Vinaduga Vinaduga Vinaduga
Vegam Vegam Vegam
Perige Vegame
Thagile Meghame
Asale Aagadhu Ee Paruge
Okate Gamyame
Darulu Verule
Payaname Nee Panile
Arere Puduthu Modale
Malupu Kudhupu Neede
Maru Janmatho Paricheyam
Anthala Paravasham
Rangu Chinukule Gundepai Ralena",,
41,Pottu Thotta Pournami,Pranav |Kalyani |Hesham |Sachin |Megha |Kaithapram,"Sarva mangala mangalye,
Shive sarvartha sadhike,
Sharanye tryambake gauri,
Narayani namosthuthe.
Pottu thotta pournami,
Thottu thottu nilkkave,
Poothulanju ninnu thaarakal.
Kankoninullile ,
Kannadi neettave,
Kaathuninna raavukal,
Kandu njaan.
Ethra naal ethra naal,
Thedi ninnu venno ninne njaan,
Athramel athramel,
Nenjakamurukum anuragam,
Pranaya veena meetti.
Pottu thotta pournami,
Thottu thottu nilkkave,
Poothulanju ninnu thaarakal.
Po pole chundil thenoorum,
Ninnullil sneha swapnangal,
Moharaagangaloo .
Avayil ozhukum azhakilalakal,
Hridaya madhura chashakamithile,
Prema tharala nurakal ilakum,
Gaana rasana.
Thazhuki ozhukave,
Neeyum njaanum undo,
Ennomal penne.
Pottu thotta pournami,
Thottu thottu nilkkave,
Poothulanju ninnu thaarakal.
Ethra naal ethra naal,
Thedi ninnu venno,
Ninne njaan.
Athramel athramel,
Nenjakamurukum anuragam,
Pranaya veena meetti.",,
42,Nagumo,Pranav |Darshana |Kalyani |Hesham |Arvind Venugopal|Tyagaraja|Merryland,"Nagumomu thaarale,
Tegirale ne lage,
Vokatayi te meerila,
Choodalane .
Sagmaye prayamein,
Kadhilenu paadamein,
Padsage pranamein,
Thana vinake.
Mohalane meerenthala ila,
Momatame igaweede mile.
Ippude kamayye,
Ee radhe shyam,
Ippudo lokmayye,
Ee radhe shyam.
Kadhladame marichanooga,
Kalanuminne choosi,
Anakuvaga nilichenuga,
Vegaalu thala laisi.
Hechatakoo hemo thaiyyadhuga,
Adagane leni chelividhiga,
Pradhawul kemo adhpaniga,
Nimishamu lewe vidhi vidhiga.
Samayalake seleweika,
Devuleni dhi premkalidhi,
Oh kadhe idhe kadha.
Ippude kamayye,
Ee radhe shyam,
Ippudo lokmayye,
Ee radhe shyam.",,
43,Puthiyoru Lokam,Pranav |Darshana |Kalyani |Hesham |Arvind Venugopal|Tyagaraja|Merryland,"Padha sa dha sa ri ga
Ree ga
It’s a new world out there
Go make it
Dha sa ri maa ri
Reach out for the stars and fly
Puthiyoru lokam
Ilam thennal moolunna gaanam
Ila veyil polulla sneham
Kinakkal kadam thanna lokam
Malar chendil
Oro mottum
Oro swapnam
Avayil kaanarakuneethoromoham
Oro varnnam
Aaraaro paaduvathaare
Neehaaraardra raagam
Ariyaamo piraakkale
Inginiyen jeevitham

Puthiyoru lokam
Ilam thennal moolunna gaanam
It’s a new world out there go
(Humming )
It’s a new world out there..go

Njan
Njan ozhukum
Thirayil
Thalodi
Theeram
Etho anuraagaardra theeram
Ooo…
Ariyathe
Ariyathe
Pulakam
Pakaran
Enthino
Thammilee
Sangamam
Sangamam
Kaalame
Kaalame
Kaalame
Kaalame
(Humming)

Puthiyoru lokam
Ilam thennal moolunna gaanam
Ila veyil polulla sneham
Kinakkal kadam thanna lokam
Malar chendil
Oro mottum
Oro swapnam
Avayil kaanarakuneethoromoham
Oro varnnam
Aaraaro paaduvathaare
Neehaaraardra raagam
Ariyaamo piraakkale
Inginiyen jeevitham
Puthiyoru
Padha sa dha sa ri ga
Ree ga
Dha sa ri maa ri
(Humming )",,
44,The Life of Ram,Govind Vasantha | C. Prem Kumar,"Karai vantha piragae…ae….
Pidikuthu kadalai…ee…
Narai vantha piragae….ae….
Puriyuthu ulagai….ee…….

Netrin inbangal yaavum koodiyae
Indrey ippothey artham aakkuthae
Indrin ippothin inbam yaavumae
Naalai orr artham kaatumae

Vaazha en vazhvai vazhavae
Thaazhamal melae pogiren
Theeraa ul ootrai theendavae
Indrae ingae meelgiren
Ingae indre aazhgiren

Hey yaarapol
Naan ennai paarkiren
Yedhum illamalae iyalbaai
Sudar pol thelivaai

Naanae illatha
Aazhathil naan vaazhgiren
Kannadiyaai piranthae
Kaangindra ellamum naan aagiren


Iru kaalin idayilae
Urasum poonaiyaai
Vazhkai pothum adada
Ethir kaanum yaavumae
Theenda thoondum azhaga…aa…

Naanae naanai iruppen
Naalil pooraai vasippen
Polae vazhnthae salikkum
Vazhvai marukkiren
Vaagai vaagai vazhgiren
Paagai paagai aagiren

Tho kaatrodu
Vallooru thaan poguthae
Paadhai illamalae azhagaai
Nigazhae athuvai

Neerin aazhathil
Pogindra kal polavae
Oosai ellam thuranthae
Kaangindra katchikkul naan moozhginen


Thimileri kaalai mel
Thoongum kaagamai
Boomi meethu iruppen
Puvi pogum pokkil kai korthu
Naanum nadappen

Yedho eakam eluthae
Aaha aazham tharuthae
Thaai pol vazhum ganamae
Aaro paaduthae..ae….
Aaro aarirariro..ooo
Aaro aarirariro..ooo…


Karai vantha piragae…ae….
Pidikuthu kadalai….ee…..
Narai vantha piragae…ae….
Puriyuthu ulagai….ee…..

Netrin inbangal yaavum koodiyae
Indrey ippothey artham aakkuthae
Indrin ippothin inbam yaavumae
Naalai orr artham kaatumae


Thaanae thaanae nanae nae…ae…
Thaanae thaanae nanae nae…
Thaanae thaanae nanae nae…ae..
Thaanae thaanae nanae nae…

Thaanae thaanae nanae nae…ae…
Thaanae thaanae nanae nae…
Thaanae thaanae nanae nae…ae..
Thaanae….aa…..aa….
",,
45,Pathu Thala,Silambarasan TR | A. R Rahman | Gautham Karthik,,,
46,Mudhal Nee Mudivum Nee,Darbuka Siva | Sid Sriram | Thamarai,"Mudhal nee mudivum nee
Moondru kaalam nee
Kadal nee karaiyum nee
Kaatru kooda nee
Manadhoram oru kaayam
Unnai ennadha naal illaiyae
Naanaga naanum illaiyae
Vazhiyengum pala bimbam
Adhil naan saaya thozh illaiyae
Un pola yaarum illaiyae

Theera nadhi neethaanadi
Neendhaamal naan moozhgi ponen
Neethaanadi vaanil madhi
Neeyalla naan thaanae theindhen

Paadhi kaanagam
Adhil kaanamal ponavan
Oru paavai kaal thadam
Adhai thedamal theinthavan

Kaanadha baaram en nenjilae
Thunai illa naan andrilae
Naal ellaam pogum aanalum naan

Uyir illadha udalae

Mudhal nee mudivum nee
Moondru kaalam nee
Kadal nee karaiyum nee
Kaatru kooda nee

Dhoora desathil
thozhainthaayo Kanmani
Unai thedi kandathum
En kannellaam minnmini

Pinnokki kaalam pogum enil
Un mannippai kooruven
Kannokki nerai paarkkum kanam

Pizhai ellaamae kalaiven



Mudhal nee mudivum nee
Moondru kaalam nee
Kadal nee karaiyum nee
Kaatru kooda nee

Nagaradha kadigaaram
Adhu pol naanum nindrirundhen
Nee engu sendraai kannamma
Azhagaana aridhaaram
Velipaarvaikku poosi konden
Punnaigaikku podhum kannamma

Nee ketkavae en padalai
Un aasai raagathil seidhen
Un punnagai pon minnalai
Naan korthu aangaangu neidhen

Mudhal nee…eee…..
Mudivum nee…ee…ee…",,
47,Pehli Dafa,Atif Aslam,"Dil kahe kahaniyan
Pehli Dafa

Armano Me ramaniyan
Pehli Dafa..

Ho gya begana
Mai hosh se pehle
pehli dafa

Pyaar ko Pehchana
Aehsaas he ye naya


Suna hai Suna hai
Yeh Rasm-e Vafa hai

Jo Dil pe Nasha hai
Vo Pehli Dafa Hai

Suna hai Suna hai
Yeh Rasm-e Vafa hai

Jo Dil pe Nasha hai

Vo Pehli Dafa Hai

Kabhi Dard si
Kabhi zard si
zindgi benaam thi.

Kahi chahatein
Huyee mehrban
Hath parh ke thamti


Ek vo Nazar
Ek vo nigah
Rooh mai Shamil isi tarah

Bann geya fasana
Is baat se Pehli Dafa
Paa.. liya hai tikana
Bahon ki hai panna

Suna hai Suna hai
Yeh Rasm-e Vafa hai

Jo Dil pe Nasha hai

Vo Pehli Dafa Hai

Lage bevajah
Al’faaz jo
Vo zaroorat ho gaye..

Taqdeer ke
Kush Faisle
Jo Khanimat ho gaye..


Badla hua
Har pal hai
Rehti khumari Har jagah

Pyaar tha anjana
Hua sath mai

Yeh sar abh jana
Kya rang hai yeh chada

Suna hai Suna hai..
Yeh Rasm-e Vafa hai..

Jo Dil pe Nasha hai..
Vo Pehli Dafa Hai..

(Suna hai Suna hai..
Yeh Rasm-e Vafa hai..


Jo Dil pe Nasha hai..
Vo Pehli Dafa Hai..",,
48,Tum Se Hi,Mohit Chauhan | Pritam,"Na hai ye paana,
Na khona hi hai,
Tera na hona jane,
Kyu hona hi hai.
Tum se hi din hota hai,
Surmayee sham aati,
Tumse hi tumse hi.
Har ghari saans aati hai,
Zindagi kehlati hai,
Tumse hi tumse hi.
Na hai ye paana,
Na khona hi hai,
Tera na hona jane,
Kyu hona hi hai.
Aankhon mein aankhen teri,
Bahon mein bahein teri,
Mera na mujhme kuch raha,
Huya kya.
Baaton mein baatein teri,
Raate saugate teri,
Kyu tera sab ye ho gaya,
Huya kya.
Main kahi bhi jata hu,
Tumse hi mil jata hu,
Tumse hi tumse hi.
Shor mein khamoshi hai,
Thodi si behoshi hai,
Tum se hi tum se hi.
Aadha sa wada kabhi,
Aadhe se jyada kabhi,
Jee chahe karlu is tarah wafa ka,
Chode na choote kabhi,
Tode na toote kabhi,
Jo dhaga tumse,
Jud gaya wafa ka.
Main tera sarmaya hu,
Jo bhi main ban paya hu,
Tumse hi tumse hi,
Raste mil jati hai,
Manzile mil jati hai,
Tumse hi tumse hi.
Na hai ye paana,
Na khona hi hai,
Tera na hona jane,
Kyu hona hi hai.",,
49,Mast Magan,Arijit Singh,"Ishq ki dhooni roz jalaaye

Uthta dhuaan toh kaise chhupaaye
Ho akhiyaan kare jee hazoori
Maange hai teri manzoori
Kajra siyaahi, din rang jaaye
Teri kastoori rain jagaaye
Man mast magan, man mast magan
Bas tera naam dohraaye
Man mast magan, man mast magan
Bas Tera naam dohraaye

Chaahe bhi toh bhool na paaye

Man mast magan, man mast magan
Bas tera naam dohraaye
Man mast magan, man mast magan
Tera naam dohraaye


O......
Jogiya jog lagake
Makhra rog lagaa ke
Ishq ki dhooni roz jalaaye
Uthta dhuaan toh kaise chhupaaye
Man mast magan, man mast magan
Bas tera naam dohraaye
Man mast magan, man mast magan
Bas tera naam dohraaye

Chaahe bhi toh bhool na paaye

Man mast magan, man mast magan
Bas tera naam dohraaye
Man mast magan, man mast magan
Tera naam..

bas tera naam dohraaye

Odh ke dhaani reet ki chaadar
Aaya tere shehar mein Ranjha tera
Duniya zamaana, jhoota fasaana
Jeene marne ka waada saancha mera
Ho.. sheesh-mehal na mujhko suhaaye

Tujh sang sookhi roti bhaaye
Man mast magan, man mast magan
Bas tera naam dohraaye
Man mast magan, man mast magan
Bas tera naam dohraaye

Chaahe bhi toh bhool na paaye

Man mast magan, man mast magan
Bas tera naam dohraaye
Man mast magan, man mast magan
Tera naam.. dohraye…",,
50,Kabira, Pritam Chakraborty,"Banno re banno meri chali sasural ko
Ankhiyo me paani de gayi
Duaa me meethi gud dhani le gayi

Haaye..
Banno re banno meri chali sasural ko
Ankhiyo me paani de gayi
Duaa me meethi gud dhani le gayi

Re kabira maan ja, re fakira yun na jaa
Aaja tujhko pukaarein teri parchhayaan
Re kabira maan ja, re fakira yun na jaa
Kaisa tu hai nirmohi kaisa harjaayiya

Re kabira, re kabira
Re fakira, re fakira
Re kabira, re kabira
Re fakira, re fakira


Tuti chaarpaayi wohi
Thandi purvaayi rasta dekhe
Doodhoon ki malaayi wohi
Mitti ki suraahi rasta dekhe

Gudiya ri gudiya tera gudda pardesiya
Jodi aasmani ho gayi
Shagun pe dekho shad mani ho gayi

Haaye..
Gudiya ri gudiya tera gudda pardesiya
Jodi aasmani ho gayi
Shagun pe dekho shad mani ho gayi


Re kabira maan ja, re fakira yun na jaa
Aaja tujhko pukaarein teri parchhayaan
Re kabira maan ja, re fakira yun na jaa
Kaisa tu hai nirmohi kaisa harjaayiya

Re kabira, re kabira
Re fakira, re fakira
Re kabira, re kabira
Re kabira, re kabira",,
51,Illahi,Pritam Chakraborty,"(Ooh.. Aah..
Ooh.. Aah..0oh.. Aah
Shaame Malang Si
Raate Surang Si
Baaghi Udaan Pe Hi Na Jaane Kyun

Ilahi Mera Jee Aaye Aaye
Ilahi Mera Jee Aaye Aaye
Da Da Dan Dan Dung Dung Dang...
Kal Pe Sawaal Hai Jeena Filhaal Hai
Khaana Badoshiyon Pe Hi Jaane Kyun

Ilahi Mera Jee Aaye Aaye
Ilahi Mera Jee Aaye Aaye
Brrrooom...

Da Da Dan Dan Dung Dung Dang...
Mera Falsafaa Kandhe Pe Mera Basta
Chala Main Jahaan Le Chala Mujhe Rasta
Boondon Pe Nahin
Gahare Samandar Pe Woh Oo Woh ...

Ilahi Mera Jee Aaye Aaye
Ilahi Mera Jee Aaye Aaye Ho...
Ho.. Na Na Na....

Shaamein Malang Si
Raatein Surang Si
Baaghi Udaan Pe Hi Na Jaane Kyun

Ilahi Mera Jee Aaye Aaye
Ilahi Mera Jee Aaye Aaye

O... Woh..
O... Woh..",,
